rid,x,y
R_1NgknTKpLBtTCrb,1016,-395
R_1NgknTKpLBtTCrb,991,-290
R_1NgknTKpLBtTCrb,956,-180
R_1NgknTKpLBtTCrb,1123,-986
R_1NgknTKpLBtTCrb,1158,-859
R_1NgknTKpLBtTCrb,1181,-758
R_7WIg1op0j9iC5od,1123,-215
R_7WIg1op0j9iC5od,1210,-373
R_7WIg1op0j9iC5od,879,-267
R_7WIg1op0j9iC5od,904,-110
R_1MRsZSNd25R8ke3,895,-146
R_1MRsZSNd25R8ke3,1020,-167
R_1MRsZSNd25R8ke3,804,-321
R_1MRsZSNd25R8ke3,1023,-317
R_1MRsZSNd25R8ke3,1091,-486
R_1MRsZSNd25R8ke3,1000,-490
R_1MRsZSNd25R8ke3,1079,-594
R_1MRsZSNd25R8ke3,1123,-749
R_1MRsZSNd25R8ke3,1114,-844
R_1MRsZSNd25R8ke3,1114,-398
R_2c5Uk3uXB5MPXsk,837,-299
R_2c5Uk3uXB5MPXsk,974,-529
R_2c5Uk3uXB5MPXsk,1135,-574
R_2c5Uk3uXB5MPXsk,1112,-850
R_2c5Uk3uXB5MPXsk,1003,-224
R_798wBl9r4uIeRj3,710,-203
R_798wBl9r4uIeRj3,1227,-234
R_798wBl9r4uIeRj3,1223,-363
R_798wBl9r4uIeRj3,1288,-700
R_798wBl9r4uIeRj3,1265,-873
R_798wBl9r4uIeRj3,1233,-994
R_2rO52qpSyrB7Bx2,947,-171
R_2rO52qpSyrB7Bx2,1018,-345
R_2rO52qpSyrB7Bx2,1016,-510
R_2rO52qpSyrB7Bx2,1129,-645
R_2rO52qpSyrB7Bx2,1112,-794
R_2rO52qpSyrB7Bx2,1089,-940
R_2rO52qpSyrB7Bx2,1187,-510
R_2rO52qpSyrB7Bx2,1110,-192
R_2rO52qpSyrB7Bx2,1192,-363
R_2rO52qpSyrB7Bx2,829,-301
R_1LYxkDtyoB3PYOY,1062,-535
R_1LYxkDtyoB3PYOY,879,-293
R_1q40l4tAaxlxK34,828,-297
R_1q40l4tAaxlxK34,1094,-152
R_1q40l4tAaxlxK34,1208,-276
R_1q40l4tAaxlxK34,1027,-470
R_1q40l4tAaxlxK34,1215,-455
R_1q40l4tAaxlxK34,1037,-318
R_1q40l4tAaxlxK34,1260,-643
R_1q40l4tAaxlxK34,1258,-742
R_1q40l4tAaxlxK34,1227,-890
R_1q40l4tAaxlxK34,1229,-988
R_1nW5uzSAoxLAQLb,1243,-269
R_1nW5uzSAoxLAQLb,1102,-534
R_1nW5uzSAoxLAQLb,951,-309
R_1nW5uzSAoxLAQLb,1084,-967
R_2BrgtxgTpDt7sD7,924,-544
R_2BrgtxgTpDt7sD7,826,-296
R_2BrgtxgTpDt7sD7,910,-135
R_2BrgtxgTpDt7sD7,1043,-144
R_2BrgtxgTpDt7sD7,1039,-534
R_2BrgtxgTpDt7sD7,1284,-502
R_2BrgtxgTpDt7sD7,1127,-851
R_2BrgtxgTpDt7sD7,912,-736
R_27eSFmXw8BotHHO,1141,-219
R_27eSFmXw8BotHHO,1168,-373
R_27eSFmXw8BotHHO,905,-66
R_27eSFmXw8BotHHO,1108,-861
R_27eSFmXw8BotHHO,1119,-576
R_27eSFmXw8BotHHO,905,-510
R_27eSFmXw8BotHHO,812,-291
R_3lr9TGlMIZwwlhQ,703,-262
R_3lr9TGlMIZwwlhQ,1011,-185
R_3lr9TGlMIZwwlhQ,1114,-375
R_3lr9TGlMIZwwlhQ,1099,-555
R_3lr9TGlMIZwwlhQ,934,-463
R_1NfFRBEsyv39mCz,888,-267
R_2SHatLslR4U6Yd5,912,-539
R_2SHatLslR4U6Yd5,1079,-483
R_2SHatLslR4U6Yd5,866,-276
R_2VInSUCBS1uLxX8,874,-273
R_2VInSUCBS1uLxX8,929,-161
R_2VInSUCBS1uLxX8,1029,-175
R_12FPhvshaPuG3Cy,1242,-393
R_12FPhvshaPuG3Cy,1212,-290
R_12FPhvshaPuG3Cy,1108,-340
R_12FPhvshaPuG3Cy,1023,-153
R_12FPhvshaPuG3Cy,1033,-251
R_12FPhvshaPuG3Cy,1023,-332
R_12FPhvshaPuG3Cy,1010,-439
R_12FPhvshaPuG3Cy,1089,-464
R_12FPhvshaPuG3Cy,1131,-572
R_12FPhvshaPuG3Cy,1150,-729
R_1DTqdD66QT7ZC8o,933,-311
R_1DTqdD66QT7ZC8o,1029,-464
R_1DTqdD66QT7ZC8o,1104,-575
R_1DTqdD66QT7ZC8o,947,-180
R_1DTqdD66QT7ZC8o,801,-272
R_1DTqdD66QT7ZC8o,1187,-685
R_1DTqdD66QT7ZC8o,1139,-856
R_1DTqdD66QT7ZC8o,1121,-971
R_2TtnuTzNnhBtqdW,1135,-437
R_2TtnuTzNnhBtqdW,1131,-280
R_2TtnuTzNnhBtqdW,941,-340
R_sNnnuO4kN9WSMUx,829,-278
R_sNnnuO4kN9WSMUx,1058,-295
R_sNnnuO4kN9WSMUx,1089,-480
R_sNnnuO4kN9WSMUx,1085,-593
R_2amiu8gsMu4QtVK,1085,-566
R_2amiu8gsMu4QtVK,820,-297
R_2amiu8gsMu4QtVK,1023,-424
R_2amiu8gsMu4QtVK,1043,-150
R_2amiu8gsMu4QtVK,1129,-917
R_2amiu8gsMu4QtVK,1137,-729
R_1F4cq2VcXyujTSZ,793,-315
R_1F4cq2VcXyujTSZ,833,-234
R_1F4cq2VcXyujTSZ,914,-123
R_1F4cq2VcXyujTSZ,1018,-161
R_1F4cq2VcXyujTSZ,912,-315
R_1F4cq2VcXyujTSZ,1046,-244
R_1F4cq2VcXyujTSZ,1043,-380
R_1F4cq2VcXyujTSZ,1043,-549
R_1F4cq2VcXyujTSZ,912,-769
R_1F4cq2VcXyujTSZ,1144,-750
R_2WCEBjh9Cp3NqKa,1020,-171
R_2WCEBjh9Cp3NqKa,860,-157
R_2WCEBjh9Cp3NqKa,1077,-491
R_2WCEBjh9Cp3NqKa,1236,-823
R_1dFgk8rsJGe9geR,1114,-959
R_1dFgk8rsJGe9geR,1136,-751
R_1dFgk8rsJGe9geR,834,-280
R_1dFgk8rsJGe9geR,976,-291
R_OPCFphBKgfWi2Gt,554,-499
R_OPCFphBKgfWi2Gt,703,-221
R_OPCFphBKgfWi2Gt,878,-98
R_OPCFphBKgfWi2Gt,1135,-134
R_OPCFphBKgfWi2Gt,965,-303
R_OPCFphBKgfWi2Gt,1222,-309
R_OPCFphBKgfWi2Gt,1037,-442
R_OPCFphBKgfWi2Gt,1242,-540
R_OPCFphBKgfWi2Gt,1232,-766
R_OPCFphBKgfWi2Gt,1109,-987
R_qw1x4Y35iQxHi49,1052,-324
R_qw1x4Y35iQxHi49,996,-535
R_qw1x4Y35iQxHi49,1140,-519
R_qw1x4Y35iQxHi49,837,-278
R_qw1x4Y35iQxHi49,1145,-725
R_qw1x4Y35iQxHi49,986,-170
R_1lc0hbugfszGMW1,831,-293
R_1lc0hbugfszGMW1,1031,-240
R_1lc0hbugfszGMW1,1077,-489
R_1lc0hbugfszGMW1,912,-551
R_3JvXnDeHvLGclNr,1213,-470
R_BJjLKKq5sltMvEB,1159,-695
R_BJjLKKq5sltMvEB,816,-289
R_BJjLKKq5sltMvEB,1063,-199
R_BJjLKKq5sltMvEB,1029,-482
R_BJjLKKq5sltMvEB,1125,-922
R_BJjLKKq5sltMvEB,1077,-605
R_BJjLKKq5sltMvEB,987,-330
R_BJjLKKq5sltMvEB,926,-193
R_qXAlN6sPKD56zId,1039,-564
R_qXAlN6sPKD56zId,1121,-792
R_qXAlN6sPKD56zId,918,-583
R_qXAlN6sPKD56zId,1104,-451
R_qXAlN6sPKD56zId,1179,-595
R_qXAlN6sPKD56zId,1275,-537
R_qXAlN6sPKD56zId,1058,-278
R_qXAlN6sPKD56zId,954,-378
R_qXAlN6sPKD56zId,810,-341
R_qXAlN6sPKD56zId,904,-201
R_3kBXRPosb2uAyze,975,-180
R_3kBXRPosb2uAyze,904,-273
R_3kBXRPosb2uAyze,1150,-211
R_2wbFUfd5gFri1ZU,1011,-478
R_2wbFUfd5gFri1ZU,1083,-607
R_2wbFUfd5gFri1ZU,847,-319
R_2wbFUfd5gFri1ZU,996,-262
R_2wbFUfd5gFri1ZU,898,-149
R_2wbFUfd5gFri1ZU,1140,-720
R_2wbFUfd5gFri1ZU,1119,-838
R_RfBnzt0b8lGDgB3,1132,-769
R_RfBnzt0b8lGDgB3,1083,-947
R_CdgqNNNXTFGRysp,854,-228
R_CdgqNNNXTFGRysp,1181,-1001
R_CdgqNNNXTFGRysp,1188,-894
R_2B2RZ9W6ur3QUPZ,862,-338
R_1rp3pmKwrdgVsJT,1110,-230
R_1rp3pmKwrdgVsJT,866,-244
R_1rp3pmKwrdgVsJT,943,-169
R_1rp3pmKwrdgVsJT,1194,-387
R_1rp3pmKwrdgVsJT,1179,-687
R_3iX5ISZP2mr79Ke,1056,-270
R_3iX5ISZP2mr79Ke,972,-198
R_3iX5ISZP2mr79Ke,864,-360
R_3iX5ISZP2mr79Ke,798,-252
R_3iX5ISZP2mr79Ke,1074,-510
R_3iX5ISZP2mr79Ke,984,-546
R_3iX5ISZP2mr79Ke,1158,-738
R_3iX5ISZP2mr79Ke,1224,-492
R_3iX5ISZP2mr79Ke,1074,-846
R_33BIYUX7uNsDKrh,803,-257
R_33BIYUX7uNsDKrh,948,-276
R_33BIYUX7uNsDKrh,860,-332
R_33BIYUX7uNsDKrh,1002,-401
R_23gIesvweRFbW65,899,-148
R_23gIesvweRFbW65,1031,-152
R_23gIesvweRFbW65,1039,-313
R_23gIesvweRFbW65,804,-290
R_23gIesvweRFbW65,1062,-476
R_23gIesvweRFbW65,1114,-581
R_23gIesvweRFbW65,1160,-737
R_23gIesvweRFbW65,1106,-861
R_1ddmnQMj6ZBHLXj,1033,-984
R_1ddmnQMj6ZBHLXj,1027,-307
R_1ddmnQMj6ZBHLXj,1106,-522
R_4TsWlXuftfs4CGZ,959,-346
R_4TsWlXuftfs4CGZ,1041,-280
R_4TsWlXuftfs4CGZ,1008,-457
R_4TsWlXuftfs4CGZ,1084,-568
R_4TsWlXuftfs4CGZ,1161,-667
R_4TsWlXuftfs4CGZ,1103,-798
R_4TsWlXuftfs4CGZ,1103,-913
R_4TsWlXuftfs4CGZ,957,-543
R_4TsWlXuftfs4CGZ,862,-288
R_4TsWlXuftfs4CGZ,934,-175
R_3G3C9nF1fTaJqmp,1008,-457
R_3G3C9nF1fTaJqmp,1116,-489
R_3G3C9nF1fTaJqmp,1069,-589
R_3G3C9nF1fTaJqmp,1292,-508
R_3G3C9nF1fTaJqmp,1012,-334
R_3G3C9nF1fTaJqmp,1023,-198
R_3G3C9nF1fTaJqmp,904,-134
R_3G3C9nF1fTaJqmp,839,-267
R_3G3C9nF1fTaJqmp,887,-361
R_3G3C9nF1fTaJqmp,914,-554
R_3qeyLTt86f6nnpC,902,-326
R_3qeyLTt86f6nnpC,856,-234
R_3qeyLTt86f6nnpC,975,-142
R_3qeyLTt86f6nnpC,1062,-418
R_3qeyLTt86f6nnpC,1177,-591
R_3qeyLTt86f6nnpC,1177,-790
R_Zx8cHmOwWVmuaHv,1150,-226
R_Zx8cHmOwWVmuaHv,1068,-504
R_Zx8cHmOwWVmuaHv,827,-314
R_1kGimNJn4na1Tf1,1164,-107
R_1kGimNJn4na1Tf1,1152,-246
R_1kGimNJn4na1Tf1,1213,-380
R_1kGimNJn4na1Tf1,1221,-499
R_1kGimNJn4na1Tf1,1240,-658
R_1kGimNJn4na1Tf1,1273,-796
R_1kGimNJn4na1Tf1,1217,-928
R_3JqERPVaeQsY2y3,847,-165
R_3JqERPVaeQsY2y3,1196,-262
R_3JqERPVaeQsY2y3,1294,-787
R_3JqERPVaeQsY2y3,1283,-525
R_3JqERPVaeQsY2y3,1058,-509
R_2pQY6r0eq3xTNgU,749,-119
R_2pQY6r0eq3xTNgU,835,-307
R_2pQY6r0eq3xTNgU,1021,-171
R_2pQY6r0eq3xTNgU,1219,-205
R_2pQY6r0eq3xTNgU,1096,-349
R_2pQY6r0eq3xTNgU,1208,-485
R_2pQY6r0eq3xTNgU,1025,-497
R_2pQY6r0eq3xTNgU,1112,-585
R_2pQY6r0eq3xTNgU,972,-303
R_2pQY6r0eq3xTNgU,1144,-744
R_2z7IvT3PXhFgfwf,924,-307
R_4H271CYMG0jIA6J,853,-282
R_4H271CYMG0jIA6J,975,-182
R_4H271CYMG0jIA6J,977,-339
R_4H271CYMG0jIA6J,1095,-461
R_4H271CYMG0jIA6J,1140,-599
R_2dMHldVU0XBtFyq,1070,-499
R_2dMHldVU0XBtFyq,933,-225
R_12D69JPeiLb6rwp,854,-293
R_12D69JPeiLb6rwp,941,-146
R_12D69JPeiLb6rwp,998,-416
R_12D69JPeiLb6rwp,1035,-531
R_12D69JPeiLb6rwp,1144,-560
R_12D69JPeiLb6rwp,1171,-733
R_12D69JPeiLb6rwp,1135,-857
R_12D69JPeiLb6rwp,1050,-309
R_1PcTMXiIQPDTLjq,816,-292
R_1PcTMXiIQPDTLjq,1139,-518
R_1PcTMXiIQPDTLjq,962,-526
R_1PcTMXiIQPDTLjq,1071,-253
R_1PcTMXiIQPDTLjq,1156,-750
R_1PcTMXiIQPDTLjq,1117,-921
R_1pt9XGA7lS4fjnO,889,-278
R_1pt9XGA7lS4fjnO,941,-184
R_1pt9XGA7lS4fjnO,1094,-234
R_1pt9XGA7lS4fjnO,1202,-669
R_pKGVoTScAd532g1,831,-313
R_pKGVoTScAd532g1,977,-282
R_pKGVoTScAd532g1,920,-552
R_pKGVoTScAd532g1,1029,-491
R_pKGVoTScAd532g1,941,-737
R_pKGVoTScAd532g1,1144,-744
R_pKGVoTScAd532g1,893,-153
R_2D8iRU5PfUqwjpH,1029,-157
R_2D8iRU5PfUqwjpH,1043,-247
R_2D8iRU5PfUqwjpH,885,-148
R_2D8iRU5PfUqwjpH,1106,-411
R_2D8iRU5PfUqwjpH,1250,-501
R_2D8iRU5PfUqwjpH,1046,-503
R_2D8iRU5PfUqwjpH,1117,-760
R_2D8iRU5PfUqwjpH,1127,-856
R_2D8iRU5PfUqwjpH,1092,-971
R_32WI2ZuFCs4wVXb,908,-157
R_32WI2ZuFCs4wVXb,1012,-420
R_32WI2ZuFCs4wVXb,1085,-533
R_32WI2ZuFCs4wVXb,1133,-622
R_32WI2ZuFCs4wVXb,1165,-744
R_32WI2ZuFCs4wVXb,1125,-852
R_32WI2ZuFCs4wVXb,1119,-959
R_32WI2ZuFCs4wVXb,851,-318
R_32WI2ZuFCs4wVXb,1025,-276
R_32WI2ZuFCs4wVXb,1027,-163
R_1iflqLLj6Q9hinb,835,-278
R_1iflqLLj6Q9hinb,1002,-412
R_3JJBaTqJsVHhgbZ,857,-309
R_3JJBaTqJsVHhgbZ,1063,-319
R_3JJBaTqJsVHhgbZ,1119,-545
R_3JJBaTqJsVHhgbZ,955,-689
R_3JJBaTqJsVHhgbZ,960,-489
R_3JJBaTqJsVHhgbZ,950,-134
R_3JJBaTqJsVHhgbZ,1196,-777
R_3JJBaTqJsVHhgbZ,1073,-987
R_bOVCEqeePhxuwdr,809,-287
R_bOVCEqeePhxuwdr,1049,-185
R_bOVCEqeePhxuwdr,1070,-342
R_bOVCEqeePhxuwdr,1056,-513
R_bOVCEqeePhxuwdr,1282,-485
R_bOVCEqeePhxuwdr,1104,-670
R_bOVCEqeePhxuwdr,1063,-902
R_Ddbhzio6kEME0Eh,687,-347
R_Ddbhzio6kEME0Eh,787,-332
R_Ddbhzio6kEME0Eh,828,-238
R_Ddbhzio6kEME0Eh,874,-140
R_Ddbhzio6kEME0Eh,1050,-299
R_Ddbhzio6kEME0Eh,1037,-188
R_Ddbhzio6kEME0Eh,1043,-405
R_Ddbhzio6kEME0Eh,1102,-476
R_1NF8IzGBlDAC34C,866,-301
R_1NF8IzGBlDAC34C,981,-278
R_1NF8IzGBlDAC34C,996,-386
R_1NF8IzGBlDAC34C,1002,-512
R_1NF8IzGBlDAC34C,1119,-535
R_1NF8IzGBlDAC34C,1225,-401
R_1NF8IzGBlDAC34C,1260,-666
R_1NF8IzGBlDAC34C,1267,-854
R_ukbeyvFCu4ojSQF,946,-178
R_ukbeyvFCu4ojSQF,1118,-273
R_ukbeyvFCu4ojSQF,960,-314
R_ukbeyvFCu4ojSQF,1049,-472
R_27ILDK1ndZd6nXU,1245,-422
R_27ILDK1ndZd6nXU,1245,-910
R_27ILDK1ndZd6nXU,834,-263
R_25zLQI2zolKteRZ,862,-280
R_25zLQI2zolKteRZ,1112,-783
R_25zLQI2zolKteRZ,1091,-501
R_25zLQI2zolKteRZ,937,-545
R_25zLQI2zolKteRZ,1023,-200
R_25zLQI2zolKteRZ,895,-152
R_25zLQI2zolKteRZ,985,-368
R_22WaRgomZEvSgNh,1100,-982
R_22WaRgomZEvSgNh,1137,-867
R_22WaRgomZEvSgNh,1152,-758
R_22WaRgomZEvSgNh,1196,-677
